,0,1,2
23-04-2020,2.007309069,0.14117225,3.39301811
24-04-2020,1.751385152,0.142308864,3.928075779
25-04-2020,1.807902857,0.141398711,3.352222922
26-04-2020,2.050443649,0.141156412,3.457157872
27-04-2020,2.609773739,0.143072031,3.94207028
28-04-2020,2.343504912,0.141236476,5.027029988
29-04-2020,2.463161441,0.140529254,3.579325918
30-04-2020,1.997982085,0.141037919,3.48133326
01-05-2020,2.449336244,0.140998926,3.54612629
02-05-2020,1.834955452,0.141656122,3.550852528
03-05-2020,2.237154949,0.143400627,3.74475349
04-05-2020,2.345114848,0.141246518,3.079721944
05-05-2020,1.908040518,0.14186478,3.439895361
06-05-2020,2.059474679,0.141515664,3.533177779
07-05-2020,1.807317306,0.141021508,3.254822665
08-05-2020,1.949172401,0.141947648,3.423797488
09-05-2020,2.23580056,0.141836725,3.200863533
10-05-2020,2.036269262,0.140841021,3.17379126
11-05-2020,2.112827897,0.141058813,2.750625727
12-05-2020,2.946323651,0.141756324,3.498962066
13-05-2020,2.037482986,0.141137144,3.337179621
14-05-2020,1.640519744,0.141472696,3.675620902
15-05-2020,2.039093783,0.141719968,3.048264869
16-05-2020,1.75838266,0.141299659,3.439498753
17-05-2020,1.8741187,0.14105287,3.360442079
18-05-2020,2.127719926,0.142291072,3.036030251
19-05-2020,1.786015011,0.141395449,3.819076247
20-05-2020,2.171434846,0.141615877,3.530677578
21-05-2020,1.727556085,0.141888583,2.910734542
22-05-2020,1.519924787,0.141673441,3.15514324
23-05-2020,2.193019236,0.140740441,4.092640296
24-05-2020,2.030114797,0.141549026,2.606870637
25-05-2020,2.442602408,0.141619103,4.031941946
26-05-2020,2.032484507,0.14045282,3.688071199
27-05-2020,1.873081701,0.141942931,2.803943788
28-05-2020,2.292978389,0.141780392,4.083780486
29-05-2020,2.227649387,0.140078232,3.59085058
30-05-2020,1.899362721,0.142724887,3.131899489
31-05-2020,2.692779824,0.14052134,4.554468379
01-06-2020,1.742609629,0.142101297,2.871191249
02-06-2020,2.309804159,0.142191468,4.859644608
03-06-2020,1.779266899,0.141147638,2.975607707
04-06-2020,2.284642646,0.141879957,3.439527397
05-06-2020,2.068759456,0.14306725,4.641174008
06-06-2020,1.820516982,0.14205322,2.527221845
07-06-2020,3.064179702,0.141892477,4.834646716
08-06-2020,2.550129821,0.137523151,4.690119396
09-06-2020,1.999157023,0.141076001,3.133063017
10-06-2020,1.592884924,0.143256823,2.624656844
11-06-2020,1.879880672,0.142740761,2.837311481
12-06-2020,2.125007642,0.142650699,3.322801796
13-06-2020,1.78650247,0.141668963,3.169360396
14-06-2020,1.912529576,0.142250896,2.572918763
15-06-2020,2.03362629,0.142070591,3.026664403
16-06-2020,2.330633756,0.141521972,3.780331717
17-06-2020,1.946120948,0.142458721,2.9622616
18-06-2020,1.762745949,0.140122608,2.926008918
19-06-2020,2.105933247,0.140631241,3.697613667
20-06-2020,1.768471747,0.141955167,2.662812545
21-06-2020,1.808094699,0.141746359,3.224068694
22-06-2020,1.712591651,0.140908299,3.13679183
23-06-2020,1.979205276,0.141969448,3.613453517
24-06-2020,1.825329797,0.138774187,3.199442261
25-06-2020,2.268638241,0.140798945,3.465935064
26-06-2020,2.14748239,0.140542867,3.650131876
27-06-2020,2.420729966,0.141539146,3.758677473
28-06-2020,2.500792259,0.142812586,3.557109456
29-06-2020,2.062505314,0.14119084,2.988862452
30-06-2020,2.210086829,0.141611408,4.173392595
01-07-2020,1.920068894,0.142111265,3.110238999
02-07-2020,1.728470046,0.142582116,2.721238906
03-07-2020,1.705855729,0.140761283,3.118755328
04-07-2020,1.560338972,0.14036764,3.077632422
05-07-2020,1.617032713,0.1419875,3.063649959
06-07-2020,1.5492366,0.141625816,2.188866477
07-07-2020,1.878618067,0.142379746,3.083303723
08-07-2020,1.885801608,0.141983752,2.852439069
09-07-2020,2.042972881,0.141028109,3.112854611
10-07-2020,1.773727503,0.140676276,2.964252486
11-07-2020,2.249296204,0.142501963,3.613985294
12-07-2020,1.834010273,0.138646155,2.921105176
13-07-2020,2.124754852,0.140025742,3.470790381
14-07-2020,1.794343604,0.14611146,2.573377883
15-07-2020,1.931001934,0.138409145,2.788833073
16-07-2020,1.881528639,0.14152711,2.706195298
17-07-2020,1.805712759,0.142173048,3.003382188
18-07-2020,1.837878877,0.141493693,2.93299293
19-07-2020,1.737904986,0.142531717,3.051952294
20-07-2020,1.676756203,0.141301056,3.163458315
21-07-2020,2.202810023,0.141158402,4.115943446
22-07-2020,2.11377528,0.14199375,3.387473039
23-07-2020,2.395220665,0.143434879,3.695056631
24-07-2020,2.303610104,0.142142197,3.383935307
25-07-2020,1.611168581,0.140856172,2.200826534
26-07-2020,2.067883385,0.142402945,3.272404238
27-07-2020,2.280636925,0.141772227,3.117676912
28-07-2020,1.806720224,0.141856179,2.650571889
29-07-2020,2.092577011,0.139540059,3.869856478
30-07-2020,2.249246105,0.143437783,3.186050365
31-07-2020,2.221168622,0.141903039,3.988639033
01-08-2020,1.971558954,0.143181941,3.834282427
02-08-2020,1.890936618,0.140140495,2.754378746
03-08-2020,2.031109042,0.142080638,3.061641667
04-08-2020,2.156095274,0.143239738,2.967053733
05-08-2020,2.201401441,0.141623495,4.519024184
06-08-2020,2.612418117,0.141662654,3.811872664
07-08-2020,2.14243891,0.141062803,3.253869833
08-08-2020,2.176468409,0.141231301,3.802273276
09-08-2020,2.472367804,0.142602668,2.959271423
10-08-2020,1.998366608,0.142567317,3.205503271
11-08-2020,2.080127466,0.14155048,3.327434841
12-08-2020,2.187712234,0.142153203,3.953481097
13-08-2020,2.008616051,0.142685933,3.749493642
14-08-2020,2.341314674,0.140737692,3.211648522
15-08-2020,2.019514964,0.142643394,3.442150287
16-08-2020,2.275664126,0.143481444,3.282654451
17-08-2020,2.389676665,0.141577316,3.362120527
18-08-2020,2.415340871,0.141074849,3.303211048
19-08-2020,1.660489462,0.142653629,3.168513856
20-08-2020,1.70365596,0.140513847,2.640309178
21-08-2020,1.870489977,0.14299972,2.713292029
22-08-2020,1.979610541,0.142435617,2.75914134
23-08-2020,1.857884665,0.140609161,3.335486795
24-08-2020,1.840258298,0.1409226,3.115185211
25-08-2020,2.535810487,0.141340429,3.23332823
26-08-2020,2.49343936,0.142934194,3.197275522
27-08-2020,2.809667571,0.142114775,3.504209885
28-08-2020,2.316624745,0.143499551,3.790952641
29-08-2020,2.086091282,0.141449622,3.449991538
30-08-2020,2.067466984,0.141885182,4.108956211
31-08-2020,1.929882205,0.142765112,2.955904241
01-09-2020,2.848781453,0.142502577,4.350798515
02-09-2020,2.410567757,0.142344401,4.151901986
03-09-2020,1.95319067,0.140824363,3.586027227
04-09-2020,2.093525293,0.140699112,3.866406779
05-09-2020,3.134709047,0.142889709,4.751916749
06-09-2020,2.908301246,0.142912588,4.030435733
07-09-2020,1.472137958,0.133857397,3.847377967
08-09-2020,3.033463166,0.140495158,4.847142118
09-09-2020,2.312350203,0.140892316,3.953373879
10-09-2020,2.26257456,0.140733074,3.552825118
11-09-2020,2.13035732,0.142290677,3.570156594
12-09-2020,2.328564063,0.141809169,4.111158711
13-09-2020,2.286604582,0.142510636,4.525977963
14-09-2020,2.666205383,0.142098223,4.503926831
15-09-2020,1.826958545,0.141068466,3.771218432
16-09-2020,2.752410938,0.153767193,3.875989341
17-09-2020,2.010671849,0.142957741,2.770049367
18-09-2020,3.447917016,0.14431023,5.917806361
19-09-2020,1.659812632,0.139047285,3.250692737
20-09-2020,2.713326727,0.142405342,4.115014167
21-09-2020,1.84149456,0.140400585,2.535601964
